state,island_destination,year,quarter,date,domestic_tourists,international_tourists,total_tourists,marine_park_visitors,hotel_occupancy_rate,avg_expenditure_myr,fish_landings_mt,is_monsoon_season,marine_water_quality_index,carrying_capacity_stress,overtourism_risk,tourist_growth_qoq
Melaka,Pulau Besar,2020,Q1,2020-01-01,314618,68727,383345,38566,25.0,706.36,187,0,85.5,18.6,Low,-65.19
Melaka,Pulau Besar,2020,Q2,2020-04-01,410022,98783,508805,51255,25.0,918.12,192,0,85.2,20.2,Low,32.73
Melaka,Pulau Besar,2020,Q3,2020-07-01,385043,99190,484233,47047,25.0,924.37,180,0,84.8,19.8,Low,-4.83
Melaka,Pulau Besar,2020,Q4,2020-10-01,313158,75202,388360,38159,25.0,713.52,195,0,83.1,19.1,Low,-19.8
Melaka,Pulau Besar,2021,Q1,2021-01-01,423363,110126,533489,54690,27.6,725.24,197,0,84.5,21.9,Low,37.37
Melaka,Pulau Besar,2021,Q2,2021-04-01,566305,146693,712998,69339,36.6,964.05,184,0,82.2,28.1,Low,33.65
Melaka,Pulau Besar,2021,Q3,2021-07-01,549147,133776,682923,68562,36.7,936.19,181,0,84.3,27.7,Low,-4.22
Melaka,Pulau Besar,2021,Q4,2021-10-01,439761,113382,553143,56517,26.5,741.94,190,0,83.6,21.8,Low,-19.0
Melaka,Pulau Besar,2022,Q1,2022-01-01,752741,177007,929748,93678,41.4,777.88,175,0,81.4,33.3,Low,68.08
Melaka,Pulau Besar,2022,Q2,2022-04-01,971074,234643,1205717,117691,54.0,982.15,184,0,80.2,42.0,Moderate,29.68
Melaka,Pulau Besar,2022,Q3,2022-07-01,936505,218411,1154916,117124,58.9,992.33,175,0,80.8,44.0,Moderate,-4.21
Melaka,Pulau Besar,2022,Q4,2022-10-01,733024,179377,912401,90067,47.4,747.83,189,0,81.0,35.6,Low,-21.0
Melaka,Pulau Besar,2023,Q1,2023-01-01,841308,225783,1067091,108218,54.2,773.5,195,0,79.8,41.1,Moderate,16.95
Melaka,Pulau Besar,2023,Q2,2023-04-01,1159753,278032,1437785,142481,70.2,1013.14,175,0,79.7,52.3,Moderate,34.74
Melaka,Pulau Besar,2023,Q3,2023-07-01,1125426,273425,1398851,140369,64.7,1012.92,192,0,79.1,49.7,Moderate,-2.71
Melaka,Pulau Besar,2023,Q4,2023-10-01,890354,203037,1093391,107274,55.2,790.38,195,0,81.0,41.2,Moderate,-21.84
Melaka,Pulau Besar,2024,Q1,2024-01-01,964423,242142,1206565,117864,54.8,821.8,175,0,79.6,42.5,Moderate,10.35
Melaka,Pulau Besar,2024,Q2,2024-04-01,1250199,287337,1537536,155591,73.4,1071.22,195,0,79.4,55.3,Moderate,27.43
Melaka,Pulau Besar,2024,Q3,2024-07-01,1230731,277566,1508297,153370,75.2,1058.65,192,0,79.5,55.8,Moderate,-1.9
Melaka,Pulau Besar,2024,Q4,2024-10-01,919159,227416,1146575,114251,52.7,815.15,194,0,79.5,41.1,Moderate,-23.98
Negeri Sembilan,Port Dickson Marine Coast,2019,Q1,2019-01-01,1029144,63346,1092490,201367,55.2,679.11,57,0,76.6,53.0,Moderate,0.0
Negeri Sembilan,Port Dickson Marine Coast,2019,Q2,2019-04-01,1325667,82677,1408344,254300,70.1,901.19,56,0,71.7,66.9,High,28.91
Negeri Sembilan,Port Dickson Marine Coast,2019,Q3,2019-07-01,1371984,74420,1446404,255868,72.1,896.16,59,0,72.0,67.9,High,2.7
Negeri Sembilan,Port Dickson Marine Coast,2019,Q4,2019-10-01,1027895,55703,1083598,196310,58.3,691.53,57,0,75.0,54.1,Moderate,-25.08
Negeri Sembilan,Port Dickson Marine Coast,2020,Q1,2020-01-01,319605,20521,340126,61466,25.0,720.24,60,0,83.6,21.7,Low,-68.61
Negeri Sembilan,Port Dickson Marine Coast,2020,Q2,2020-04-01,443592,23553,467145,85110,25.0,926.68,60,0,82.8,24.6,Low,37.34
Negeri Sembilan,Port Dickson Marine Coast,2020,Q3,2020-07-01,443933,23564,467497,85686,25.0,919.11,57,0,83.3,24.6,Low,0.08
Negeri Sembilan,Port Dickson Marine Coast,2020,Q4,2020-10-01,325828,18637,344465,62572,25.0,707.77,56,0,83.0,22.0,Low,-26.32
Negeri Sembilan,Port Dickson Marine Coast,2021,Q1,2021-01-01,469254,26364,495618,87600,25.0,714.45,55,0,81.3,25.2,Low,43.88
Negeri Sembilan,Port Dickson Marine Coast,2021,Q2,2021-04-01,630279,37050,667329,118208,36.1,953.92,54,0,79.4,34.2,Low,34.65
Negeri Sembilan,Port Dickson Marine Coast,2021,Q3,2021-07-01,630028,37555,667583,120111,33.3,966.65,54,0,78.8,33.2,Low,0.04
Negeri Sembilan,Port Dickson Marine Coast,2021,Q4,2021-10-01,467425,28975,496400,88864,26.5,737.13,60,0,81.8,25.9,Low,-25.64
Negeri Sembilan,Port Dickson Marine Coast,2022,Q1,2022-01-01,791220,44567,835787,147324,48.0,749.89,55,0,79.3,42.9,Moderate,68.37
Negeri Sembilan,Port Dickson Marine Coast,2022,Q2,2022-04-01,1031401,64222,1095623,195418,60.1,998.58,60,0,75.8,54.7,Moderate,31.09
Negeri Sembilan,Port Dickson Marine Coast,2022,Q3,2022-07-01,1059050,56963,1116013,202753,60.3,973.41,59,0,75.6,55.7,Moderate,1.86
Negeri Sembilan,Port Dickson Marine Coast,2022,Q4,2022-10-01,777143,47770,824913,150697,43.1,757.37,59,0,78.5,41.3,Moderate,-26.08
Negeri Sembilan,Port Dickson Marine Coast,2023,Q1,2023-01-01,958972,53807,1012779,186337,52.9,772.18,58,0,76.0,50.3,Moderate,22.77
Negeri Sembilan,Port Dickson Marine Coast,2023,Q2,2023-04-01,1167898,66429,1234327,221279,66.1,1040.13,57,0,74.4,60.7,High,21.88
Negeri Sembilan,Port Dickson Marine Coast,2023,Q3,2023-07-01,1205361,71723,1277084,226729,69.2,1044.26,57,0,74.3,62.7,High,3.46
Negeri Sembilan,Port Dickson Marine Coast,2023,Q4,2023-10-01,967513,56884,1024397,179484,53.7,808.48,56,0,78.2,49.5,Moderate,-19.79
Negeri Sembilan,Port Dickson Marine Coast,2024,Q1,2024-01-01,1039467,57459,1096926,199180,58.7,817.31,54,0,76.1,54.4,Moderate,7.08
Negeri Sembilan,Port Dickson Marine Coast,2024,Q2,2024-04-01,1316748,79916,1396664,245653,70.0,1057.33,56,0,74.0,65.4,High,27.33
Negeri Sembilan,Port Dickson Marine Coast,2024,Q3,2024-07-01,1369861,74810,1444671,254557,73.5,1054.84,55,0,72.4,68.3,High,3.44
Negeri Sembilan,Port Dickson Marine Coast,2024,Q4,2024-10-01,1062709,61498,1124207,197613,58.7,829.01,58,0,76.4,54.2,Moderate,-22.18
Pahang,Pulau Tioman,2019,Q1,2019-01-01,1233466,90783,1324249,372590,30.9,373.7,7064,1,67.1,64.0,High,0.0
Pahang,Pulau Tioman,2019,Q2,2019-04-01,2976025,205906,3181931,889972,74.6,877.84,9950,0,60.0,100.0,Critical,140.28
Pahang,Pulau Tioman,2019,Q3,2019-07-01,3002603,214214,3216817,892706,72.9,883.58,9639,0,60.0,100.0,Critical,1.1
Pahang,Pulau Tioman,2019,Q4,2019-10-01,1292603,80033,1372636,389975,29.3,360.31,6756,1,66.4,65.4,High,-57.33
Pahang,Pulau Tioman,2020,Q1,2020-01-01,426164,29793,455957,131440,25.0,384.99,7020,1,79.1,30.8,Low,-66.78
Pahang,Pulau Tioman,2020,Q2,2020-04-01,936335,69418,1005753,287746,26.9,924.53,10242,0,70.5,51.6,Moderate,120.58
Pahang,Pulau Tioman,2020,Q3,2020-07-01,957838,66981,1024819,278558,25.0,924.43,10755,0,72.3,49.3,Moderate,1.9
Pahang,Pulau Tioman,2020,Q4,2020-10-01,416509,28599,445108,128168,25.0,407.17,6751,1,80.5,30.1,Low,-56.57
Pahang,Pulau Tioman,2021,Q1,2021-01-01,554269,38363,592632,161701,25.0,398.55,6807,1,78.4,34.4,Low,33.14
Pahang,Pulau Tioman,2021,Q2,2021-04-01,1407274,94362,1501636,410505,33.0,948.5,10226,0,66.1,69.5,High,153.38
Pahang,Pulau Tioman,2021,Q3,2021-07-01,1310318,94431,1404749,385571,36.9,970.96,9828,0,65.6,68.5,High,-6.45
Pahang,Pulau Tioman,2021,Q4,2021-10-01,597187,42581,639768,176808,25.0,397.42,6579,1,77.2,36.4,Low,-54.46
Pahang,Pulau Tioman,2022,Q1,2022-01-01,992512,68987,1061499,300035,27.7,402.92,6531,1,69.1,53.6,Moderate,65.92
Pahang,Pulau Tioman,2022,Q2,2022-04-01,2393423,149957,2543380,724574,54.4,1007.28,10767,0,60.0,100.0,Critical,139.6
Pahang,Pulau Tioman,2022,Q3,2022-07-01,2317477,161631,2479108,693445,57.7,1008.05,9834,0,60.0,100.0,Critical,-2.53
Pahang,Pulau Tioman,2022,Q4,2022-10-01,1034355,66777,1101132,317186,27.9,425.49,6498,1,68.8,55.8,Moderate,-55.58
Pahang,Pulau Tioman,2023,Q1,2023-01-01,1168922,81731,1250653,346358,27.3,434.69,6684,1,68.8,58.9,Moderate,13.58
Pahang,Pulau Tioman,2023,Q2,2023-04-01,2674549,197099,2871648,791764,63.7,1037.95,9806,0,60.0,100.0,Critical,129.61
Pahang,Pulau Tioman,2023,Q3,2023-07-01,2755412,180308,2935720,825107,65.6,1018.2,9851,0,60.0,100.0,Critical,2.23
Pahang,Pulau Tioman,2023,Q4,2023-10-01,1109592,84476,1194068,324464,29.4,439.43,6811,1,68.3,57.4,Moderate,-59.33
Pahang,Pulau Tioman,2024,Q1,2024-01-01,1214851,81281,1296132,366407,27.0,432.2,6853,1,66.9,61.5,High,8.55
Pahang,Pulau Tioman,2024,Q2,2024-04-01,2927388,194820,3122208,885232,69.1,1049.31,10421,0,60.0,100.0,Critical,140.89
Pahang,Pulau Tioman,2024,Q3,2024-07-01,3076596,204073,3280669,943106,70.0,1073.29,9903,0,60.0,100.0,Critical,5.08
Pahang,Pulau Tioman,2024,Q4,2024-10-01,1209207,83164,1292371,357372,32.7,447.21,6955,1,67.4,62.9,High,-60.61
Perak,Pulau Pangkor & Sembilan,2019,Q1,2019-01-01,2540781,101780,2642561,669978,53.7,666.21,29511,0,60.0,100.0,Critical,0.0
Perak,Pulau Pangkor & Sembilan,2019,Q2,2019-04-01,3385602,127828,3513430,865119,75.3,873.25,31694,0,60.0,100.0,Critical,32.96
Perak,Pulau Pangkor & Sembilan,2019,Q3,2019-07-01,3529778,140822,3670600,917075,73.9,876.67,29864,0,60.0,100.0,Critical,4.47
Perak,Pulau Pangkor & Sembilan,2019,Q4,2019-10-01,2542904,104903,2647807,644960,55.0,667.32,32816,0,60.0,100.0,Critical,-27.86
Perak,Pulau Pangkor & Sembilan,2020,Q1,2020-01-01,845981,35122,881103,226388,25.0,722.14,32865,0,73.4,43.0,Moderate,-66.72
Perak,Pulau Pangkor & Sembilan,2020,Q2,2020-04-01,1076674,42383,1119057,273449,26.6,937.56,32910,0,72.4,49.4,Moderate,27.01
Perak,Pulau Pangkor & Sembilan,2020,Q3,2020-07-01,1095488,44720,1140208,280835,25.0,902.17,29677,0,70.6,49.9,Moderate,1.89
Perak,Pulau Pangkor & Sembilan,2020,Q4,2020-10-01,859481,33480,892961,224392,25.0,698.99,33006,0,74.3,42.6,Moderate,-21.68
Perak,Pulau Pangkor & Sembilan,2021,Q1,2021-01-01,1164151,50950,1215101,299930,28.9,737.48,32438,0,69.3,54.1,Moderate,36.08
Perak,Pulau Pangkor & Sembilan,2021,Q2,2021-04-01,1587129,61049,1648178,423416,33.5,968.32,29733,0,64.7,71.5,High,35.64
Perak,Pulau Pangkor & Sembilan,2021,Q3,2021-07-01,1520573,63290,1583863,390174,36.6,968.7,30126,0,67.1,68.6,High,-3.9
Perak,Pulau Pangkor & Sembilan,2021,Q4,2021-10-01,1216757,45306,1262063,318426,26.6,745.63,31303,0,69.0,55.3,Moderate,-20.32
Perak,Pulau Pangkor & Sembilan,2022,Q1,2022-01-01,2058540,79107,2137647,545384,45.6,779.24,31840,0,60.0,92.1,Critical,69.38
Perak,Pulau Pangkor & Sembilan,2022,Q2,2022-04-01,2748320,112617,2860937,709637,59.4,992.05,31610,0,60.0,100.0,Critical,33.84
Perak,Pulau Pangkor & Sembilan,2022,Q3,2022-07-01,2580550,98960,2679510,651349,57.7,1007.02,31964,0,60.0,100.0,Critical,-6.34
Perak,Pulau Pangkor & Sembilan,2022,Q4,2022-10-01,1961923,83085,2045008,525739,41.6,781.08,30917,0,60.0,88.1,Critical,-23.68
Perak,Pulau Pangkor & Sembilan,2023,Q1,2023-01-01,2469187,98492,2567679,633545,49.9,797.72,31746,0,60.0,100.0,Critical,25.56
Perak,Pulau Pangkor & Sembilan,2023,Q2,2023-04-01,3088719,121547,3210266,806961,65.5,1036.93,32309,0,60.0,100.0,Critical,25.03
Perak,Pulau Pangkor & Sembilan,2023,Q3,2023-07-01,3222284,119339,3341623,846629,64.2,1040.16,30530,0,60.0,100.0,Critical,4.09
Perak,Pulau Pangkor & Sembilan,2023,Q4,2023-10-01,2347723,89855,2437578,607923,53.8,783.16,31437,0,60.0,100.0,Critical,-27.05
Perak,Pulau Pangkor & Sembilan,2024,Q1,2024-01-01,2546028,105670,2651698,674951,53.2,831.65,31666,0,60.0,100.0,Critical,8.78
Perak,Pulau Pangkor & Sembilan,2024,Q2,2024-04-01,3465289,142081,3607370,887680,74.9,1064.63,30890,0,60.0,100.0,Critical,36.04
Perak,Pulau Pangkor & Sembilan,2024,Q3,2024-07-01,3286450,131954,3418404,836428,76.2,1044.38,30953,0,60.0,100.0,Critical,-5.24
Perak,Pulau Pangkor & Sembilan,2024,Q4,2024-10-01,2512836,105885,2618721,650947,55.5,809.02,31071,0,60.0,100.0,Critical,-23.39
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2019,Q1,2019-01-01,1468689,388162,1856851,540948,53.4,660.95,4546,0,60.0,95.1,Critical,0.0
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2019,Q2,2019-04-01,1766677,453536,2220213,652410,70.5,883.1,4690,0,60.0,100.0,Critical,19.57
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2019,Q3,2019-07-01,1815327,499194,2314521,686609,74.3,901.28,4557,0,60.0,100.0,Critical,4.25
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2019,Q4,2019-10-01,1375822,358542,1734364,519962,56.4,661.74,4275,0,60.0,94.0,Critical,-25.07
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2020,Q1,2020-01-01,456030,131172,587202,175403,25.0,707.67,4361,0,77.5,36.2,Low,-66.14
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2020,Q2,2020-04-01,608839,166655,775494,228165,25.0,930.65,4489,0,74.4,43.0,Moderate,32.07
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2020,Q3,2020-07-01,604278,158543,762821,229462,25.0,927.49,4520,0,73.5,43.3,Moderate,-1.63
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2020,Q4,2020-10-01,445688,127224,572912,174327,25.0,699.76,4713,0,76.2,36.3,Low,-24.9
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2021,Q1,2021-01-01,683683,181236,864919,265150,27.2,735.87,4421,0,71.2,48.9,Moderate,50.97
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2021,Q2,2021-04-01,840461,240648,1081109,319274,30.7,965.67,4376,0,69.1,57.2,Moderate,25.0
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2021,Q3,2021-07-01,855182,229473,1084655,331730,33.3,972.07,4599,0,69.8,59.7,Moderate,0.33
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2021,Q4,2021-10-01,637483,172913,810396,237441,25.0,723.56,4780,0,74.1,44.1,Moderate,-25.29
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2022,Q1,2022-01-01,1103321,302854,1406175,433284,40.3,767.86,4740,0,63.1,76.1,Critical,73.52
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2022,Q2,2022-04-01,1432992,365011,1798003,546741,60.2,981.47,4313,0,60.0,98.9,Critical,27.86
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2022,Q3,2022-07-01,1461563,391185,1852748,556139,60.5,998.83,4297,0,60.0,100.0,Critical,3.04
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2022,Q4,2022-10-01,1156890,318121,1475011,445291,43.5,743.03,4311,0,62.9,78.9,Critical,-20.39
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2023,Q1,2023-01-01,1287725,361460,1649185,493563,48.7,800.02,4474,0,60.3,87.4,Critical,11.81
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2023,Q2,2023-04-01,1747988,459042,2207030,657965,68.7,1037.98,4633,0,60.0,100.0,Critical,33.83
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2023,Q3,2023-07-01,1631631,457351,2088982,614549,66.0,1010.28,4755,0,60.0,100.0,Critical,-5.35
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2023,Q4,2023-10-01,1315479,374457,1689936,501798,50.4,783.72,4812,0,60.0,89.2,Critical,-19.1
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2024,Q1,2024-01-01,1468140,376463,1844603,540639,55.1,807.23,4706,0,60.0,95.9,Critical,9.15
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2024,Q2,2024-04-01,1763405,468842,2232247,676322,72.2,1058.05,4705,0,60.0,100.0,Critical,21.02
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2024,Q3,2024-07-01,1781375,507350,2288725,677962,75.2,1074.43,4281,0,60.0,100.0,Critical,2.53
Pulau Pinang,Batu Ferringhi & Teluk Bahang,2024,Q4,2024-10-01,1344728,357833,1702561,499755,56.4,831.75,4452,0,60.0,91.7,Critical,-25.61
Sabah,Semporna & Sipadan,2019,Q1,2019-01-01,2278051,441669,2719720,1156119,55.9,680.43,18492,0,60.0,100.0,Critical,0.0
Sabah,Semporna & Sipadan,2019,Q2,2019-04-01,3006339,616461,3622800,1551776,72.4,889.22,20231,0,60.0,100.0,Critical,33.2
Sabah,Semporna & Sipadan,2019,Q3,2019-07-01,3030933,537256,3568189,1536999,74.4,885.91,18933,0,60.0,100.0,Critical,-1.51
Sabah,Semporna & Sipadan,2019,Q4,2019-10-01,2431642,431007,2862649,1226483,55.2,694.9,19005,0,60.0,100.0,Critical,-19.77
Sabah,Semporna & Sipadan,2020,Q1,2020-01-01,776257,136428,912685,374293,25.0,724.01,19182,0,67.5,61.4,High,-68.12
Sabah,Semporna & Sipadan,2020,Q2,2020-04-01,1052633,182081,1234714,505148,25.0,905.41,20058,0,60.0,78.2,Critical,35.28
Sabah,Semporna & Sipadan,2020,Q3,2020-07-01,960148,178475,1138623,465413,25.3,902.12,19584,0,62.8,73.1,High,-7.78
Sabah,Semporna & Sipadan,2020,Q4,2020-10-01,786869,140478,927347,398478,25.0,715.54,19465,0,66.7,64.4,High,-18.56
Sabah,Semporna & Sipadan,2021,Q1,2021-01-01,1104059,217145,1321204,567428,27.1,733.73,19990,0,60.0,86.4,Critical,42.47
Sabah,Semporna & Sipadan,2021,Q2,2021-04-01,1484157,252258,1736415,709375,30.2,936.37,18752,0,60.0,100.0,Critical,31.43
Sabah,Semporna & Sipadan,2021,Q3,2021-07-01,1483156,254442,1737598,744257,34.0,934.77,20163,0,60.0,100.0,Critical,0.07
Sabah,Semporna & Sipadan,2021,Q4,2021-10-01,1096346,214694,1311040,563973,29.3,729.3,18321,0,60.0,87.0,Critical,-24.55
